Email Address,Start Date,End Date,School,Pre-Confidence Scoping your topic,Pre-Confidence Searching Keywords,Pre-Confidence Searching library online databases,Pre-Confidence Searching the Internet using Google,Pre-Confidence  Evaluating information,Pre-Confidence Citing References,Pre-Confidence Creating Reference List,Pre-Confidence Scoping your topic (numeric),Pre-Confidence Searching Keywords (numeric),Pre-Confidence Searching library online databases (numeric),Pre-Confidence Searching the Internet using Google (numeric),Pre-Confidence  Evaluating information (numeric),Pre-Confidence Citing References (numeric),Pre-Confidence Creating Reference List (numeric),Pre-Training Scoping your topic,Pre-Training Searching using keywords,Pre-Training Searching library online databases,Pre-Training Searching the Internet using Google,Pre-Training Evaluating information,Pre-Training Citing References,Pre-Training Creating Reference List,Pre-Training Scoping your topic  (numeric),Pre-Training Searching using keywords (numeric),Pre-Training Searching library online databases (numeric),Pre-Training Searching the Internet using Google (numeric),Pre-Training Evaluating information (numeric),Pre-Training Citing References (numeric),Pre-Training Creating Reference List (numeric)
90cae598f8a09ffbe76739558115438b5c39a1ce44a6ea8bfc0d587b8e1a4ad3,8/21/2017 7:41,8/21/2017 7:46,School of Economics,Confident,Confident,Confident,Confident,Confident,Confident,Confident,4,4,4,4,4,4,4,Unsure,Yes,Yes,Yes,Yes,Yes,Yes,0,1,1,1,1,1,1
59e0e62d3ee64b046f4ae5cf9bb5bde5fa0d0cb376d5117840e883dbfb1f7672,8/21/2017 2:52,8/21/2017 2:52,Lee Kong Chian School of Business,Confident,Confident,Confident,Confident,Confident,Confident,Confident,4,4,4,4,4,4,4,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,0,0,0,0,0,0,0
9b58da2fa8fbe168e65a10acff1fa5963861203041d205283e9e6e4bab451422,8/21/2017 0:50,8/21/2017 0:51,School of Law,Somewhat confident,Somewhat confident,Somewhat confident,Confident,Somewhat confident,Somewhat confident,Somewhat confident,3,3,3,4,3,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1
97049861d1fd4fbc473ef8bf9de83c8a1914a3d487c3f24cbaa6fe67407e19f6,8/21/2017 0:38,8/21/2017 0:42,School of Social Sciences,Slightly confident,Slightly confident,Not confident at all,Confident,Confident,Not confident at all,Not confident at all,2,2,1,4,4,1,1,No,No,No,Yes,Yes,Unsure,No,0,0,0,1,1,0,0
e041bf25e104b6ec06eac4d2132c0380108c8924cdb1e630c97d390896e6bbdc,8/21/2017 0:29,8/21/2017 0:30,Lee Kong Chian School of Business,Somewhat confident,Slightly confident,Slightly confident,Confident,Slightly confident,Slightly confident,Slightly confident,3,2,2,4,2,2,2,Yes,Yes,Yes,Yes,No,No,No,1,1,1,1,0,0,0
a73e6b73f2542a2cb437c51ac5b18fb74dd604b10df373daf1dfd4ff63f6559a,8/21/2017 0:21,8/21/2017 0:22,School of Information Systems,Confident,Confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,4,4,3,3,3,3,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1
8011c45846d93ddc580e4382dfcf01fd88dade8124e2c2fad028a1f63275d5b5,8/21/2017 0:20,8/21/2017 0:21,School of Social Sciences,Slightly confident,Somewhat confident,Slightly confident,Somewhat confident,Confident,Somewhat confident,Very confident,2,3,2,3,4,3,5,No,No,No,Unsure,No,No,No,0,0,0,0,0,0,0
255d256b5cf1bdd8b2e47683f7a36043db4de67a548f79bbcb0af15188ef778c,8/20/2017 23:51,8/20/2017 23:53,Lee Kong Chian School of Business,Not confident at all,Slightly confident,Not confident at all,Not confident at all,Not confident at all,Not confident at all,Not confident at all,1,2,1,1,1,1,1,No,Yes,No,No,No,Yes,No,0,1,0,0,0,1,0
cb60e585dee82a1cb6d6f817311ed694208bd514d2e3122918e0dac79cc28336,8/20/2017 23:47,8/20/2017 23:48,School of Economics,Slightly confident,Slightly confident,Slightly confident,Not confident at all,Not confident at all,Slightly confident,Slightly confident,2,2,2,1,1,2,2,No,Yes,Yes,Yes,No,No,Yes,0,1,1,1,0,0,1
25bc7523d14f355d4e9bb6593ab60f619748996b03fb55326d359f49ca02089d,8/20/2017 23:45,8/20/2017 23:48,Lee Kong Chian School of Business,Slightly confident,Confident,Somewhat confident,Confident,Somewhat confident,Slightly confident,Slightly confident,2,4,3,4,3,2,2,No,No,No,Yes,No,No,No,0,0,0,1,0,0,0
