Start Date,End Date,Pre-Confidence: Scoping your topic ,Pre-Confidence: Searching Keywords,Pre-Confidence: Searching library online databases,Pre-Confidence: Searching the Internet using Google,Pre-Confidence:  Evaluating information,Pre-Confidence: Citing References,Pre-Confidence: Creating Reference List,PT: Scoping your topic,PT: Searching using keywords,PT: Searching library online databases,PT: Searching the Internet using Google,PT: Evaluating information,PT: Citing References,PT: Creating Reference List,School,Email Address
8/21/2017 7:41,8/21/2017 7:46,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Unsure,Yes,Yes,Yes,Yes,Yes,Yes,School of Economics,90cae598f8a09ffbe76739558115438b5c39a1ce44a6ea8bfc0d587b8e1a4ad3
8/21/2017 2:52,8/21/2017 2:52,Confident,Confident,Confident,Confident,Confident,Confident,Confident,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Lee Kong Chian School of Business,59e0e62d3ee64b046f4ae5cf9bb5bde5fa0d0cb376d5117840e883dbfb1f7672
8/21/2017 0:50,8/21/2017 0:51,Somewhat confident,Somewhat confident,Somewhat confident,Confident,Somewhat confident,Somewhat confident,Somewhat confident,Yes,Yes,Yes,Yes,Yes,Yes,Yes,School of Law,9b58da2fa8fbe168e65a10acff1fa5963861203041d205283e9e6e4bab451422
8/21/2017 0:38,8/21/2017 0:42,Slightly confident,Slightly confident,Not confident at all,Confident,Confident,Not confident at all,Not confident at all,No,No,No,Yes,Yes,Unsure,No,School of Social Sciences,97049861d1fd4fbc473ef8bf9de83c8a1914a3d487c3f24cbaa6fe67407e19f6
8/21/2017 0:29,8/21/2017 0:30,Somewhat confident,Slightly confident,Slightly confident,Confident,Slightly confident,Slightly confident,Slightly confident,Yes,Yes,Yes,Yes,No,No,No,Lee Kong Chian School of Business,e041bf25e104b6ec06eac4d2132c0380108c8924cdb1e630c97d390896e6bbdc
8/21/2017 0:21,8/21/2017 0:22,Confident,Confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Somewhat confident,Yes,Yes,Yes,Yes,Yes,Yes,Yes,School of Information Systems,a73e6b73f2542a2cb437c51ac5b18fb74dd604b10df373daf1dfd4ff63f6559a
8/21/2017 0:20,8/21/2017 0:21,Slightly confident,Somewhat confident,Slightly confident,Somewhat confident,Confident,Somewhat confident,Very confident,No,No,No,Unsure,No,No,No,School of Social Sciences,8011c45846d93ddc580e4382dfcf01fd88dade8124e2c2fad028a1f63275d5b5
8/20/2017 23:51,8/20/2017 23:53,Not confident at all,Slightly confident,Not confident at all,Not confident at all,Not confident at all,Not confident at all,Not confident at all,No,Yes,No,No,No,Yes,No,Lee Kong Chian School of Business,255d256b5cf1bdd8b2e47683f7a36043db4de67a548f79bbcb0af15188ef778c
8/20/2017 23:47,8/20/2017 23:48,Slightly confident,Slightly confident,Slightly confident,Not confident at all,Not confident at all,Slightly confident,Slightly confident,No,Yes,Yes,Yes,No,No,Yes,School of Economics,cb60e585dee82a1cb6d6f817311ed694208bd514d2e3122918e0dac79cc28336
8/20/2017 23:45,8/20/2017 23:48,Slightly confident,Confident,Somewhat confident,Confident,Somewhat confident,Slightly confident,Slightly confident,No,No,No,Yes,No,No,No,Lee Kong Chian School of Business,25bc7523d14f355d4e9bb6593ab60f619748996b03fb55326d359f49ca02089d
