Hashed Email,User Group,Statistical Category 1,Statistical Category 2,Statistical Category 3,Statistical Category 4
f0a8200526f17acb8c08abc242857d4e31bae97435847fbc3c1015c9bb8fc5d2,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2012,GY_2016
4229bda9fe9ec82bb66f14301b54ecd2bd34893ae38389c6ae6d6c08a818d8b7,MASTER,Lee Kong Chian School of Business,MSc in Communication Mgmt,AY_2016,GY_2017
e4caddab15c5112e175534061cd7a24b1ccc82cebb9097dfa4b78946d57f840f,MASTER,School of Information Systems,Master of IT in Business,AY_2014,GY_2016
e7d5512274f7d0dd5272c1e16cc8a346637a764b038ab6ee1bea250d2c465508,UNDERGRADUATE STUDENTS,School of Economics,BSc (Economics),AY_2015,0
7e26ed9061d2d43250fcf2a473bf34dc6c34f591bf01907caafd03832030e157,MASTER,Lee Kong Chian School of Business,MSc in Applied Finance (China),AY_2009,GY_2010
07ebd40cc2fce6fb57d7e156b7b07e8d97a314172525edc6379cba3d59dccbc6,MASTER,School of Information Systems,Master of IT in Business,AY_2015,0
66f7e7ef28a9cc74218ae58f8ce67bcb2de5ff9689c1e6109fa3be013d679ee3,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2012,GY_2016
9e19e0b806712cd1df825d17c799940ffcf8c4681b4d439f9d7b62d0206f6563,UNDERGRADUATE STUDENTS,School of Information Systems,BSc (Information Systems Mgmt),AY_2015,0
961cecfc6b68e7438e78bca3431ec1b739e6705eb64d84bad11851babb1e9429,UNDERGRADUATE STUDENTS,School of Accountancy,Bachelor of Accountancy,AY_2015,0
058d08d9c42e4006eb33eb27f2799405b1f0dfd3db3712e93dcc5d403215dac2,MASTER,Lee Kong Chian School of Business,MSc in Management (Coursework),AY_2015,GY_2016
3bc07cbf7ff672c686314ae2afa8be8dbf09ed9c46227a5b62d266a0388131e6,UNDERGRADUATE STUDENTS,School of Accountancy,Bachelor of Accountancy,AY_2012,GY_2016
f5ef4525c8fb044bffb2a4c89591c030ee22866cb8ce20d9bd4e49e4fe0b98f1,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2012,GY_2016
2532db9652783c478f72093e0b48a59fdb477f9668b269590af93a3b93cdbd7e,MASTER,School of Social Sciences,Master of Tri-Sector Collab,AY_2015,GY_2016
fa43c9be6264cea6c05b90e2b01c25b5d90e37fdef1d3470d571938c5d34dc5d,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2012,GY_2016
af2d2b9538749781bbf485837297700bb4f34634989ded88ac3674dc7a24d8e6,UNDERGRADUATE STUDENTS,School of Accountancy,Bachelor of Accountancy,AY_2012,GY_2016
a8fab5dbe7de11f17cf4e4e4a8ff3283c0e17d14a89a3f9870745ffc7e712fa5,ADMIN STAFF,Others,0,0,0
6da6a978b955097e166f6138322a6ac41f4981030d87790b8a5c6ad180ee1622,UNDERGRADUATE STUDENTS,Others,"Local Exchange Programme,SMU Global Summer Programme",AY_2015,GY_2016
6683b947a19fc8b9ed38fc1bf37fd1a4b5bf2fc1221ddebb8f4b4b7f6974c724,UNDERGRADUATE STUDENTS,School of Accountancy,Bachelor of Accountancy,AY_2012,GY_2016
ef1ec6b07df9f098d569c46858caa4b3d21dc2c2746ace811a003792d4c0bda8,UNDERGRADUATE STUDENTS,School of Accountancy,Bachelor of Accountancy,AY_2015,0
01e5cd4a1a272404bf76ae5e93d98b3f2998fd056b6adc4e142fffe5e22b712a,UNDERGRADUATE STUDENTS,School of Information Systems,BSc (Information Systems Mgmt),AY_2015,0
7a07154f8a16110be0e10d9758c24ff60615eb388ca2f0a8d1cf9ddfaefb5e02,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2015,0
b65e4e6c6109be30380c11d71ac14f4313321cbe0b72a74f07b8335b5019b7cd,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2015,0
1807a8bf98749799605f1c3ee22c9d73cd252dd2e740e2bc3f1b90a576b9af95,UNDERGRADUATE STUDENTS,School of Law,Bachelor of Laws,AY_2014,0
d9b0707d399f269e9d8282373c13cb779e9ea3090b487bf51c8cd49d99bdb203,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2015,0
5cbe36af834a899e330c85ea8ce65f03fdaf7009ccb59bdf6a8158296a6bd213,UNDERGRADUATE STUDENTS,School of Economics,BSc (Economics),AY_2012,GY_2016
28989b5d482aada1217d223ef7a31a8428ce24cf0a01614c4666c617e55d0f8f,MASTER,Lee Kong Chian School of Business,MSc in Quantitative Finance,AY_2015,0
a8e26cd1fcc8a331ece099e72dec8d2b6832400fc37cd4b9b37839ec44098d48,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2014,0
5420636315e45ff6ad851aadaf57d976f33ebe3327b9aacbce4cf8ad1b1d946a,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2014,0
c10944be166a5b8ec3b06d8e32acebc1a051ab1550ac926548fe4cd57cc3296b,UNDERGRADUATE STUDENTS,School of Social Sciences,Bachelor of Social Science,AY_2015,0
600166c26c08efca21319e4f4982e6e0e38683aa5b91fdb871b6036ff5e76456,FACULTY,School of Law,0,0,0
452ad6560c26da775025d063f4a8a74a40e82b7fd724b61ff6bc7128c8e94d55,UNDERGRADUATE STUDENTS,Lee Kong Chian School of Business,Bachelor of Business Mgmt,AY_2014,0
075414ab3732ca5d534f814c365c8862a7b09f4ad4d24a724b8bb1c304f363bf,MASTER,School of Law,Juris Doctor,AY_2014,GY_2017
